Date,PSCMI 1/T [[PLN/T]],PSCMI 1/Q [[PLN/GJ]]
01.2011,241.5714922,11.29
02.2011,241.7395858,11.26
03.2011,244.0460299,11.19
04.2011,246.7914369,11.33
05.2011,250.8868312,11.38
06.2011,250.6063219,11.46
07.2011,249.8383913,11.43
08.2011,249.0016909,11.5
09.2011,249.8467059,11.46
10.2011,252.0489677,11.63
11.2011,256.0003894,11.69
12.2011,263.9575429,11.97
01.2012,283.6144372,12.81966739
02.2012,273.503591,12.44776036
03.2012,277.8469796,12.55574108
04.2012,277.9336803,12.46882503
05.2012,278.0442861,12.43515359
06.2012,280.3735382,12.45027217
07.2012,280.7591328,12.52210684
08.2012,276.1042887,12.50878712
09.2012,279.9629726,12.55820564
10.2012,279.5979488,12.58117564
11.2012,280.6031805,12.60661061
12.2012,275.4571162,12.4283527
01.2013,270.65,12.19
02.2013,271.57,12.12
03.2013,263.48,11.89
04.2013,264.93,11.83
05.2013,257.83,11.46
06.2013,250.29,11.29
07.2013,257.52,11.45
08.2013,247.31,11.08
09.2013,235.23,10.62
10.2013,234.56,10.58
11.2013,237.82,10.74
12.2013,242.33,10.9
01.2014,243.0538739,10.82087006
02.2014,240.610249,10.76227829
03.2014,237.5620328,10.69261374
04.2014,234.8369234,10.4927637
05.2014,232.7752838,10.42665555
06.2014,232.6776321,10.48531473
07.2014,227.5953007,10.44879809
08.2014,231.6077657,10.52889159
09.2014,234.62,10.56
10.2014,230.52,10.45
11.2014,230.93,10.45
12.2014,231.32,10.5
01.2015,227.78,10.33
02.2015,222.6,10.15
03.2015,212.43,9.47
04.2015,209.95,9.39
05.2015,210.8,9.56
06.2015,216.8,9.65
07.2015,216.33,9.69
08.2015,217.16,9.85
09.2015,218.94,9.8
10.2015,218.97,9.86
11.2015,217.36,9.83
12.2015,225.98,10.15
01.2016,201.17,8.93
02.2016,192.97,8.79
03.2016,194.34,8.75
04.2016,195,8.88
05.2016,195.4,8.9
06.2016,193.54,8.81
07.2016,196.13,8.86
08.2016,188.78,8.52
09.2016,197.09,8.91
10.2016,189.71,8.57
11.2016,189.49,8.65
12.2016,190.49,8.61
01.2017,198.38,8.92
02.2017,198.6,8.93
03.2017,200.2,8.88
04.2017,199.26,8.84
05.2017,208.64,9.21
06.2017,208.45,9.3
07.2017,208.39,9.33
08.2017,200.76,9.22
09.2017,206.17,9.39
10.2017,208.75,9.45
11.2017,211.41,9.57
12.2017,212.66,9.64
01.2018,226.76,10.41
02.2018,228.22,10.48
03.2018,230.75,10.57
04.2018,238.22,10.79
05.2018,237.2,10.73
06.2018,239.42,10.9
07.2018,238.1,11.08
08.2018,248.44,11.43
09.2018,245.38,11.28
10.2018,243.44,11.28
11.2018,250.78,11.33
12.2018,241.76,11.1
01.2019,254.77,11.86
02.2019,255.97,11.89
03.2019,258.14,11.91
04.2019,260.91,12.11
05.2019,256.52,11.83
06.2019,263.75,11.96
07.2019,260,11.91
08.2019,258.89,11.91
09.2019,263.36,12.1
10.2019,266.03,12.17
11.2019,266.35,12.15
12.2019,265.23,12.13
01.2020,268.32,12.05
02.2020,261.84,11.95
03.2020,262.49,12.06
04.2020,263.94,11.9
05.2020,267.21,12.11
06.2020,267.39,12.09
07.2020,263.1,11.75
08.2020,263.94,11.75
09.2020,260.69,11.85
10.2020,262.06,11.99
11.2020,256.99,11.81
12.2020,254.8,11.73
01.2021,255.97,11.62
02.2021,253.82,11.53
03.2021,252.24,11.52
04.2021,247.43,11.39
05.2021,242.94,11.14
06.2021,249.69,11.44
07.2021,246.03,11.41
08.2021,248.52,11.55
09.2021,245.17,11.36
10.2021,246.37,11.34
11.2021,237.41,11.02
12.2021,253.47,11.68
01.2022,290.64,13.52
02.2022,294.1,13.65
03.2022,290.19,13.4
04.2022,300.9,13.61
05.2022,334.74,15.2
06.2022,345.8,16.15
07.2022,344.23,16.2
08.2022,641.36,30.36
09.2022,628.2,29.34
10.2022,545.13,25.82
11.2022,551.3,25.84
12.2022,535.13,25.14
01.2023,701.11,32.21
02.2023,690.74,31.89
03.2023,707.9,32.99
04.2023,705.49,33.21
05.2023,716.43,33.64
06.2023,738.61,34.18
07.2023,726.66,33.55
08.2023,703.15,33.19
09.2023,741.22,33.95
10.2023,691.25,31.94
11.2023,665.87,30.97
12.2023,618.9,28.51
01.2024,505.96,23.59
02.2024,485.45,22.63
03.2024,481.76,22.44
04.2024,512.62,23.76
05.2024,482.11,22.39
06.2024,479.98,21.88
07.2024,483.28,22.18
08.2024,478.86,22.13
09.2024,476.04,21.75
10.2024,477.49,21.88
11.2024,461.47,21.25
12.2024,458.29,20.79
01.2025,360.64,16.63
02.2025,366.78,16.78
03.2025,356.91,16.55
04.2025,353.63,16.36
05.2025,355.24,16.29
06.2025,348.32,15.95
07.2025,336.12,15.59
08.2025,327.4,15.11
09.2025,331.12,15.31
10.2025,304.63,14.25
11.2025,336.41,15.28
12.2025,336.11,15.45
01.2026,321.26,14.72
02.2026,309.5,14.35
03.2026,294.37,13.63
04.2026,308.46,14.12
05.2026,305.21,14.04
06.2026,292.5,13.62
